modelo,RMSE_mean,RMSE_std,MAE_mean,MAE_std,n
GradientBoostingRegressor,7315.399050156653,,4325.408885602785,,1
RandomForestRegressor,7566.147048314198,,4298.510126008065,,1
LinearRegression,7874.351545550204,,5087.7399016617055,,1
Lasso(alpha=0.001),7874.496488684788,,5087.700556607311,,1
Ridge(alpha=1.0),8174.26360013518,,5319.546373871197,,1
